UID,Name,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,Height,Weight,AerialAbility,CommandOfArea,Communication,Eccentricity,Handling,Kicking,OneOnOnes,Reflexes,RushingOut,TendencyToPunch,Throwing,Corners,Crossing,Dribbling,Finishing,FirstTouch,Freekicks,Heading,LongShots,Longthrows,Marking,Passing,PenaltyTaking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decisions,Determination,Flair,Leadership,OffTheBall,Positioning,Teamwork,Workrate,Acceleration,Agility,Balance,Jumping,LeftFoot,NaturalFitness,Pace,RightFoot,Stamina,Strength,Consistency,Dirtiness,ImportantMatches,InjuryProness,Versatility,Adaptability,Ambition,Loyalty,Pressure,Professional,Sportsmanship,Temperament,Controversy,PositionsDesc,Goalkeeper,Sweeper,Striker,AttackingMidCentral,AttackingMidLeft,AttackingMidRight,DefenderCentral,DefenderLeft,DefenderRight,DefensiveMidfielder,MidfielderCentral,MidfielderLeft,MidfielderRight,WingBackLeft,WingBackRight
1025389,Wádson,1651,22/07/1990,25,0,0,0,0,183,77,10,10,13,3,11,11,3,10,1,3,3,9,6,2,1,10,5,15,7,1,13,9,9,16,9,6,8,8,7,9,7,9,12,2,5,9,12,9,10,7,11,11,12,9,11,9,20,10,12,9,4,1,9,9,20,12,9,13,11,8,9,6,D C,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1
1033176,António Carlos,1651,12/06/1979,37,0,0,0,0,188,72,4,2,3,3,1,1,1,1,1,2,3,7,7,8,14,14,7,13,8,4,4,8,7,5,10,9,11,8,9,6,6,12,9,10,10,10,7,6,8,14,11,8,14,9,14,12,20,9,8,9,9,1,9,9,15,11,10,11,11,9,15,3,S ,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1
1033189,Ricardo Andrade,1651,22/06/1977,39,0,0,0,0,187,82,12,9,11,13,11,8,10,12,11,12,7,4,3,1,3,7,7,6,1,2,3,8,1,1,7,9,11,12,8,9,7,8,12,1,6,2,11,12,12,8,11,12,13,5,9,9,20,7,10,9,6,4,5,9,12,12,11,10,12,8,10,10,GK ,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104342,Zé Roberto,1651,06/07/1974,41,84,6,0,0,172,71,2,1,1,1,1,3,1,4,3,2,2,12,13,13,10,15,14,8,9,11,10,15,13,13,17,13,13,12,15,15,13,16,16,16,15,13,12,15,13,11,10,14,6,20,14,10,7,10,8,14,6,17,6,14,18,15,13,14,19,16,17,6,D/WB/M/AM LC,1,1,1,15,18,1,1,16,1,14,19,20,1,16,1
107254,Álvaro,1651,01/11/1977,38,0,0,0,0,182,83,2,2,3,3,1,1,2,3,2,3,2,7,8,9,11,9,10,16,10,9,10,11,10,10,10,12,12,13,11,11,10,11,12,12,10,10,10,12,13,7,11,11,12,7,17,7,20,10,13,15,11,14,4,5,14,15,16,15,7,11,9,10,D C,1,9,1,1,1,1,20,1,1,1,1,1,1,1,1
107476,Rafael,1651,01/08/1978,37,0,0,0,0,185,83,1,1,2,1,3,2,3,1,1,3,1,6,8,9,12,10,8,13,9,4,5,10,14,4,11,11,10,11,13,12,12,13,15,14,12,11,7,12,8,7,7,12,12,11,11,7,20,8,14,12,8,13,9,12,12,12,19,14,15,14,8,8,S ,1,1,20,14,12,12,1,1,1,1,1,1,1,1,1
11008319,Marcos dos Santos,1651,18/05/1981,35,0,0,0,0,169,62,1,1,1,3,3,2,2,3,1,3,2,8,10,10,7,9,8,7,8,8,6,9,10,7,10,8,8,6,7,7,9,7,12,8,6,7,5,6,8,13,14,10,6,10,12,14,20,9,6,8,10,10,7,10,10,12,11,10,7,8,10,9,M/AM RL,1,1,14,10,17,20,1,1,1,1,8,14,16,1,1
11010640,Denis Viana,1651,03/09/1986,29,0,0,0,0,187,84,1,1,3,1,2,3,2,3,1,2,2,7,5,6,3,12,7,9,9,4,8,9,2,13,9,6,9,8,9,7,9,14,2,9,8,9,11,8,9,14,14,8,11,10,6,14,20,14,8,10,5,9,9,9,8,10,11,11,8,1,16,5,D/M C,1,1,1,1,1,1,18,1,1,10,20,1,1,1,1
11024622,Mauricio,1651,08/02/1993,23,0,0,0,0,182,76,2,2,1,1,3,2,2,1,1,3,1,8,10,12,7,11,9,6,11,5,7,10,12,6,11,3,6,10,11,11,10,10,13,14,5,12,5,11,7,12,14,9,9,20,12,11,6,9,9,12,8,5,6,12,16,11,12,11,12,14,7,7,M/AM LC,1,1,14,20,20,13,1,1,1,1,15,17,10,1,1
11027761,Serginho,1651,06/05/1995,21,0,0,0,0,179,0,3,3,2,2,1,1,2,4,3,3,3,6,9,13,15,14,9,14,11,3,9,11,8,7,12,9,13,8,11,11,11,11,3,10,13,9,10,9,10,15,12,6,9,10,11,14,20,7,8,10,5,10,8,10,20,12,10,8,11,3,19,4,S ,1,1,20,14,13,12,1,1,1,1,1,1,1,1,1
